league_code,season,match_date,home_team,away_team,draw_open,draw_close,draw_delta
B1,2223,2022-07-22,Standard,Genk,3.53,3.53,0.0
B1,2223,2022-07-23,Charleroi,Eupen,4.05,4.05,0.0
B1,2223,2022-07-23,Kortrijk,Oud-Heverlee Leuven,3.51,3.51,0.0
B1,2223,2022-07-23,St Truiden,St. Gilloise,3.48,3.48,0.0
B1,2223,2022-07-23,Waregem,Seraing,3.58,3.58,0.0
B1,2223,2022-07-24,Mechelen,Antwerp,3.56,3.56,0.0
B1,2223,2022-07-24,Westerlo,Cercle Brugge,3.32,3.32,0.0
B1,2223,2022-07-24,Anderlecht,Oostende,5.73,5.73,0.0
B1,2223,2022-07-24,Cercle Brugge,Genk,4.1,4.1,0.0
B1,2223,2022-07-29,St. Gilloise,Charleroi,3.87,3.87,0.0
B1,2223,2022-07-30,Oud-Heverlee Leuven,Westerlo,3.44,3.44,0.0
B1,2223,2022-07-30,Genk,St Truiden,4.08,4.08,0.0
B1,2223,2022-07-30,Oostende,Mechelen,3.5,3.5,0.0
B1,2223,2022-07-30,Cercle Brugge,Anderlecht,3.53,3.53,0.0
B1,2223,2022-07-31,Seraing,Kortrijk,3.34,3.34,0.0
B1,2223,2022-07-31,Antwerp,Waregem,4.91,4.91,0.0
B1,2223,2022-07-31,Genk,Standard,4.31,4.31,0.0
B1,2223,2022-07-31,Eupen,Cercle Brugge,4.75,4.75,0.0
B1,2223,2022-08-05,Cercle Brugge,Waregem,6.39,6.39,0.0
B1,2223,2022-08-06,Kortrijk,St Truiden,3.26,3.26,0.0
B1,2223,2022-08-06,Mechelen,St. Gilloise,3.58,3.58,0.0
B1,2223,2022-08-06,Charleroi,Oostende,4.1,4.1,0.0
B1,2223,2022-08-06,Genk,Eupen,5.3,5.3,0.0
B1,2223,2022-08-07,Anderlecht,Seraing,5.84,5.84,0.0
B1,2223,2022-08-07,Antwerp,Oud-Heverlee Leuven,4.17,4.17,0.0
B1,2223,2022-08-07,Standard,Cercle Brugge,3.38,3.38,0.0
B1,2223,2022-08-07,Genk,Westerlo,3.9,3.9,0.0
B1,2223,2022-08-12,Oostende,Genk,4.0,4.0,0.0
B1,2223,2022-08-13,Seraing,Charleroi,3.72,3.72,0.0
B1,2223,2022-08-13,St. Gilloise,Kortrijk,4.53,4.53,0.0
B1,2223,2022-08-13,Cercle Brugge,Mechelen,3.55,3.55,0.0
B1,2223,2022-08-13,Westerlo,Standard,3.37,3.37,0.0
B1,2223,2022-08-14,St Truiden,Anderlecht,3.46,3.46,0.0
B1,2223,2022-08-14,Eupen,Antwerp,3.75,3.75,0.0
B1,2223,2022-08-14,Oud-Heverlee Leuven,Cercle Brugge,4.12,4.12,0.0
B1,2223,2022-08-14,Waregem,Genk,4.09,4.09,0.0
B1,2223,2022-08-19,Eupen,Seraing,3.84,3.84,0.0
B1,2223,2022-08-20,Oostende,St Truiden,3.33,3.33,0.0
B1,2223,2022-08-20,Genk,Cercle Brugge,4.17,4.17,0.0
B1,2223,2022-08-21,Waregem,Charleroi,3.7,3.7,0.0
B1,2223,2022-08-21,Cercle Brugge,Kortrijk,5.5,5.5,0.0
B1,2223,2022-08-21,Standard,Oud-Heverlee Leuven,3.68,3.68,0.0
B1,2223,2022-08-21,Mechelen,Westerlo,3.46,3.46,0.0
B1,2223,2022-08-26,Charleroi,Cercle Brugge,3.74,3.74,0.0
B1,2223,2022-08-27,Oud-Heverlee Leuven,Oostende,3.68,3.68,0.0
B1,2223,2022-08-27,St Truiden,Mechelen,3.44,3.44,0.0
B1,2223,2022-08-27,Cercle Brugge,Waregem,3.87,3.87,0.0
B1,2223,2022-08-27,Seraing,Genk,4.5,4.5,0.0
B1,2223,2022-08-28,St. Gilloise,Anderlecht,3.5,3.5,0.0
B1,2223,2022-08-28,Westerlo,Eupen,3.59,3.59,0.0
B1,2223,2022-08-28,Genk,Antwerp,3.59,3.59,0.0
B1,2223,2022-08-28,Kortrijk,Standard,3.45,3.45,0.0
B1,2223,2022-08-31,Antwerp,St. Gilloise,3.37,3.37,0.0
B1,2223,2022-09-01,Anderlecht,Genk,3.54,3.54,0.0
B1,2223,2022-09-02,Cercle Brugge,Cercle Brugge,4.18,4.18,0.0
B1,2223,2022-09-03,Mechelen,Seraing,4.27,4.27,0.0
B1,2223,2022-09-03,Standard,Oostende,3.64,3.64,0.0
B1,2223,2022-09-03,Eupen,Kortrijk,3.43,3.43,0.0
B1,2223,2022-09-03,Genk,St Truiden,4.03,4.03,0.0
B1,2223,2022-09-04,Charleroi,Genk,3.54,3.54,0.0
B1,2223,2022-09-04,Waregem,St. Gilloise,3.92,3.92,0.0
B1,2223,2022-09-04,Anderlecht,Oud-Heverlee Leuven,5.12,5.12,0.0
B1,2223,2022-09-04,Antwerp,Westerlo,3.68,3.68,0.0
B1,2223,2022-09-09,St Truiden,Standard,3.41,3.41,0.0
B1,2223,2022-09-10,Seraing,Cercle Brugge,4.66,4.66,0.0
B1,2223,2022-09-10,Oud-Heverlee Leuven,Charleroi,3.72,3.72,0.0
B1,2223,2022-09-10,Oostende,Eupen,3.68,3.68,0.0
B1,2223,2022-09-10,Kortrijk,Mechelen,3.58,3.58,0.0
B1,2223,2022-09-11,St. Gilloise,Genk,3.57,3.57,0.0
B1,2223,2022-09-11,Genk,Waregem,5.14,5.14,0.0
B1,2223,2022-09-11,Westerlo,Anderlecht,3.47,3.47,0.0
B1,2223,2022-09-11,Cercle Brugge,Antwerp,3.48,3.48,0.0
B1,2223,2022-09-16,Antwerp,Seraing,5.23,5.23,0.0
B1,2223,2022-09-17,Cercle Brugge,Oostende,3.73,3.73,0.0
B1,2223,2022-09-17,Waregem,St Truiden,3.37,3.37,0.0
B1,2223,2022-09-17,Charleroi,Westerlo,3.55,3.55,0.0
