league_code,season,match_date,team_id,team_name,is_home,matches_played,wins,draws,losses,goals_scored,goals_conceded,points,form_rating,attack_form,defense_form,last_match_date
USA1,2425,2024-02-21,9559,Vancouver Whitecaps,True,5,3,0,2,9,11,9,0.6,0.72,0.11999999999999988,2022-02-26
USA1,2425,2024-02-21,9569,Charlotte FC,False,5,2,1,2,10,12,7,0.4666666666666667,0.8,0.040000000000000036,2022-02-26
USA1,2425,2024-02-21,9552,Chicago Fire,True,5,2,1,2,11,10,7,0.4666666666666667,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9557,FC Cincinnati,False,5,2,1,2,15,15,7,0.4666666666666667,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9563,FC Dallas,True,5,3,1,1,12,9,10,0.6666666666666666,0.96,0.28,2023-02-25
USA1,2425,2024-02-21,9553,CF Montréal,False,5,3,1,1,13,11,10,0.6666666666666666,1.0,0.11999999999999988,2022-02-26
USA1,2425,2024-02-21,9555,Houston Dynamo,True,5,2,0,3,13,14,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9546,New York RB,False,5,2,0,3,14,15,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9562,Sporting Kansas City,True,5,2,1,2,9,8,7,0.4666666666666667,0.72,0.36,2023-02-25
USA1,2425,2024-02-21,9554,Philadelphia Union,False,5,3,0,2,13,7,9,0.6,1.0,0.44000000000000006,2022-02-26
USA1,2425,2024-02-21,9568,Colorado Rapids,True,5,3,1,1,11,10,10,0.6666666666666666,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9558,Nashville SC,False,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9551,Portland Timbers,True,5,0,3,2,5,8,3,0.2,0.4,0.36,2022-02-26
USA1,2425,2024-02-21,9566,D.C. United,False,5,0,1,4,4,12,1,0.06666666666666667,0.32,0.040000000000000036,2022-02-26
USA1,2425,2024-02-21,9546,New York RB,True,5,2,0,3,14,15,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9551,Portland Timbers,False,5,0,3,2,5,8,3,0.2,0.4,0.36,2022-02-26
USA1,2425,2024-02-21,9548,Atlanta United FC,True,5,2,1,2,11,10,7,0.4666666666666667,0.8800000000000001,0.19999999999999996,2023-02-25
USA1,2425,2024-02-21,9560,New England Revolution,False,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2022-02-26
USA1,2425,2024-02-21,9570,Columbus Crew,True,5,3,1,1,13,11,10,0.6666666666666666,1.0,0.11999999999999988,2023-02-25
USA1,2425,2024-02-21,9552,Chicago Fire,False,5,2,1,2,11,10,7,0.4666666666666667,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9561,Toronto FC,True,5,2,1,2,14,14,7,0.4666666666666667,1.0,0.0,2022-02-26
USA1,2425,2024-02-21,9557,FC Cincinnati,False,5,2,1,2,15,15,7,0.4666666666666667,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9563,FC Dallas,True,5,3,1,1,12,9,10,0.6666666666666666,0.96,0.28,2023-02-25
USA1,2425,2024-02-21,9565,Real Salt Lake,False,5,2,1,2,13,12,7,0.4666666666666667,1.0,0.040000000000000036,2023-02-25
USA1,2425,2024-02-21,9549,Seattle Sounders,False,5,1,2,2,7,9,5,0.3333333333333333,0.5599999999999999,0.28,2023-02-25
USA1,2425,2024-02-21,9568,Colorado Rapids,True,5,3,1,1,11,10,10,0.6666666666666666,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9550,Minnesota United FC,False,5,1,1,3,11,15,4,0.26666666666666666,0.8800000000000001,0.0,2022-02-26
USA1,2425,2024-02-21,9559,Vancouver Whitecaps,True,5,3,0,2,9,11,9,0.6,0.72,0.11999999999999988,2022-02-26
USA1,2425,2024-02-21,9556,Inter Miami CF,False,5,3,0,2,11,10,9,0.6,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9547,Los Angeles Galaxy,True,5,1,3,1,9,7,6,0.4,0.72,0.44000000000000006,2023-02-25
USA1,2425,2024-02-21,9555,Houston Dynamo,False,5,2,0,3,13,14,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9551,Portland Timbers,True,5,0,3,2,5,8,3,0.2,0.4,0.36,2022-02-26
USA1,2425,2024-02-21,9562,Sporting Kansas City,False,5,2,1,2,9,8,7,0.4666666666666667,0.72,0.36,2023-02-25
USA1,2425,2024-02-21,9564,San Jose Earthquakes,True,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9545,Austin FC,False,5,3,2,0,9,4,11,0.7333333333333333,0.72,0.6799999999999999,2022-02-26
USA1,2425,2024-02-21,9553,CF Montréal,True,5,3,1,1,13,11,10,0.6666666666666666,1.0,0.11999999999999988,2022-02-26
USA1,2425,2024-02-21,9566,D.C. United,False,5,0,1,4,4,12,1,0.06666666666666667,0.32,0.040000000000000036,2022-02-26
USA1,2425,2024-02-21,9556,Inter Miami CF,True,5,3,0,2,11,10,9,0.6,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9548,Atlanta United FC,False,5,2,1,2,11,10,7,0.4666666666666667,0.8800000000000001,0.19999999999999996,2023-02-25
USA1,2425,2024-02-21,9552,Chicago Fire,True,5,2,1,2,11,10,7,0.4666666666666667,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9567,Orlando City,False,5,1,0,4,5,15,3,0.2,0.4,0.0,2022-02-26
USA1,2425,2024-02-21,9555,Houston Dynamo,True,5,2,0,3,13,14,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9568,Colorado Rapids,False,5,3,1,1,11,10,10,0.6666666666666666,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9562,Sporting Kansas City,True,5,2,1,2,9,8,7,0.4666666666666667,0.72,0.36,2023-02-25
USA1,2425,2024-02-21,9559,Vancouver Whitecaps,False,5,3,0,2,9,11,9,0.6,0.72,0.11999999999999988,2022-02-26
USA1,2425,2024-02-21,9547,Los Angeles Galaxy,True,5,1,3,1,9,7,6,0.4,0.72,0.44000000000000006,2023-02-25
USA1,2425,2024-02-21,9563,FC Dallas,False,5,3,1,1,12,9,10,0.6666666666666666,0.96,0.28,2023-02-25
USA1,2425,2024-02-21,9549,Seattle Sounders,True,5,1,2,2,7,9,5,0.3333333333333333,0.5599999999999999,0.28,2023-02-25
USA1,2425,2024-02-21,9565,Real Salt Lake,False,5,2,1,2,13,12,7,0.4666666666666667,1.0,0.040000000000000036,2023-02-25
USA1,2425,2024-02-21,9546,New York RB,True,5,2,0,3,14,15,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9564,San Jose Earthquakes,False,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9566,D.C. United,True,5,0,1,4,4,12,1,0.06666666666666667,0.32,0.040000000000000036,2022-02-26
USA1,2425,2024-02-21,9561,Toronto FC,False,5,2,1,2,14,14,7,0.4666666666666667,1.0,0.0,2022-02-26
USA1,2425,2024-02-21,9556,Inter Miami CF,True,5,3,0,2,11,10,9,0.6,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9554,Philadelphia Union,True,5,3,0,2,13,7,9,0.6,1.0,0.44000000000000006,2022-02-26
USA1,2425,2024-02-21,9553,CF Montréal,False,5,3,1,1,13,11,10,0.6666666666666666,1.0,0.11999999999999988,2022-02-26
USA1,2425,2024-02-21,9552,Chicago Fire,True,5,2,1,2,11,10,7,0.4666666666666667,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9547,Los Angeles Galaxy,False,5,1,3,1,9,7,6,0.4,0.72,0.44000000000000006,2023-02-25
USA1,2425,2024-02-21,9558,Nashville SC,True,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9560,New England Revolution,False,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2022-02-26
USA1,2425,2024-02-21,9565,Real Salt Lake,True,5,2,1,2,13,12,7,0.4666666666666667,1.0,0.040000000000000036,2023-02-25
USA1,2425,2024-02-21,9545,Austin FC,False,5,3,2,0,9,4,11,0.7333333333333333,0.72,0.6799999999999999,2022-02-26
USA1,2425,2024-02-21,9559,Vancouver Whitecaps,True,5,3,0,2,9,11,9,0.6,0.72,0.11999999999999988,2022-02-26
USA1,2425,2024-02-21,9568,Colorado Rapids,False,5,3,1,1,11,10,10,0.6666666666666666,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9547,Los Angeles Galaxy,True,5,1,3,1,9,7,6,0.4,0.72,0.44000000000000006,2023-02-25
USA1,2425,2024-02-21,9564,San Jose Earthquakes,False,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9546,New York RB,True,5,2,0,3,14,15,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9569,Charlotte FC,False,5,2,1,2,10,12,7,0.4666666666666667,0.8,0.040000000000000036,2022-02-26
USA1,2425,2024-02-21,9550,Minnesota United FC,True,5,1,1,3,11,15,4,0.26666666666666666,0.8800000000000001,0.0,2022-02-26
USA1,2425,2024-02-21,9562,Sporting Kansas City,False,5,2,1,2,9,8,7,0.4666666666666667,0.72,0.36,2023-02-25
USA1,2425,2024-02-21,9546,New York RB,True,5,2,0,3,14,15,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9563,FC Dallas,False,5,3,1,1,12,9,10,0.6666666666666666,0.96,0.28,2023-02-25
USA1,2425,2024-02-21,9567,Orlando City,True,5,1,0,4,5,15,3,0.2,0.4,0.0,2022-02-26
USA1,2425,2024-02-21,9550,Minnesota United FC,False,5,1,1,3,11,15,4,0.26666666666666666,0.8800000000000001,0.0,2022-02-26
USA1,2425,2024-02-21,9545,Austin FC,True,5,3,2,0,9,4,11,0.7333333333333333,0.72,0.6799999999999999,2022-02-26
USA1,2425,2024-02-21,9558,Nashville SC,True,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9547,Los Angeles Galaxy,False,5,1,3,1,9,7,6,0.4,0.72,0.44000000000000006,2023-02-25
USA1,2425,2024-02-21,9556,Inter Miami CF,True,5,3,0,2,11,10,9,0.6,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9553,CF Montréal,False,5,3,1,1,13,11,10,0.6666666666666666,1.0,0.11999999999999988,2022-02-26
USA1,2425,2024-02-21,9554,Philadelphia Union,True,5,3,0,2,13,7,9,0.6,1.0,0.44000000000000006,2022-02-26
USA1,2425,2024-02-21,9549,Seattle Sounders,False,5,1,2,2,7,9,5,0.3333333333333333,0.5599999999999999,0.28,2023-02-25
USA1,2425,2024-02-21,9552,Chicago Fire,True,5,2,1,2,11,10,7,0.4666666666666667,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9553,CF Montréal,False,5,3,1,1,13,11,10,0.6666666666666666,1.0,0.11999999999999988,2022-02-26
USA1,2425,2024-02-21,9566,D.C. United,True,5,0,1,4,4,12,1,0.06666666666666667,0.32,0.040000000000000036,2022-02-26
USA1,2425,2024-02-21,9556,Inter Miami CF,False,5,3,0,2,11,10,9,0.6,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9549,Seattle Sounders,True,5,1,2,2,7,9,5,0.3333333333333333,0.5599999999999999,0.28,2023-02-25
USA1,2425,2024-02-21,9568,Colorado Rapids,False,5,3,1,1,11,10,10,0.6666666666666666,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9546,New York RB,True,5,2,0,3,14,15,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9561,Toronto FC,False,5,2,1,2,14,14,7,0.4666666666666667,1.0,0.0,2022-02-26
USA1,2425,2024-02-21,9545,Austin FC,True,5,3,2,0,9,4,11,0.7333333333333333,0.72,0.6799999999999999,2022-02-26
USA1,2425,2024-02-21,9554,Philadelphia Union,False,5,3,0,2,13,7,9,0.6,1.0,0.44000000000000006,2022-02-26
USA1,2425,2024-02-21,9563,FC Dallas,True,5,3,1,1,12,9,10,0.6666666666666666,0.96,0.28,2023-02-25
USA1,2425,2024-02-21,9559,Vancouver Whitecaps,False,5,3,0,2,9,11,9,0.6,0.72,0.11999999999999988,2022-02-26
USA1,2425,2024-02-21,9558,Nashville SC,True,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9569,Charlotte FC,False,5,2,1,2,10,12,7,0.4666666666666667,0.8,0.040000000000000036,2022-02-26
USA1,2425,2024-02-21,9562,Sporting Kansas City,True,5,2,1,2,9,8,7,0.4666666666666667,0.72,0.36,2023-02-25
USA1,2425,2024-02-21,9564,San Jose Earthquakes,False,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9547,Los Angeles Galaxy,True,5,1,3,1,9,7,6,0.4,0.72,0.44000000000000006,2023-02-25
USA1,2425,2024-02-21,9560,New England Revolution,True,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2022-02-26
USA1,2425,2024-02-21,9557,FC Cincinnati,False,5,2,1,2,15,15,7,0.4666666666666667,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9560,New England Revolution,True,5,2,1,2,8,7,7,0.4666666666666667,0.64,0.44000000000000006,2022-02-26
USA1,2425,2024-02-21,9552,Chicago Fire,False,5,2,1,2,11,10,7,0.4666666666666667,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9559,Vancouver Whitecaps,True,5,3,0,2,9,11,9,0.6,0.72,0.11999999999999988,2022-02-26
USA1,2425,2024-02-21,9565,Real Salt Lake,False,5,2,1,2,13,12,7,0.4666666666666667,1.0,0.040000000000000036,2023-02-25
USA1,2425,2024-02-21,9562,Sporting Kansas City,True,5,2,1,2,9,8,7,0.4666666666666667,0.72,0.36,2023-02-25
USA1,2425,2024-02-21,9547,Los Angeles Galaxy,False,5,1,3,1,9,7,6,0.4,0.72,0.44000000000000006,2023-02-25
USA1,2425,2024-02-21,9566,D.C. United,False,5,0,1,4,4,12,1,0.06666666666666667,0.32,0.040000000000000036,2022-02-26
USA1,2425,2024-02-21,9551,Portland Timbers,True,5,0,3,2,5,8,3,0.2,0.4,0.36,2022-02-26
USA1,2425,2024-02-21,9554,Philadelphia Union,False,5,3,0,2,13,7,9,0.6,1.0,0.44000000000000006,2022-02-26
USA1,2425,2024-02-21,9564,San Jose Earthquakes,True,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9549,Seattle Sounders,False,5,1,2,2,7,9,5,0.3333333333333333,0.5599999999999999,0.28,2023-02-25
USA1,2425,2024-02-21,9568,Colorado Rapids,True,5,3,1,1,11,10,10,0.6666666666666666,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9547,Los Angeles Galaxy,False,5,1,3,1,9,7,6,0.4,0.72,0.44000000000000006,2023-02-25
USA1,2425,2024-02-21,9569,Charlotte FC,True,5,2,1,2,10,12,7,0.4666666666666667,0.8,0.040000000000000036,2022-02-26
USA1,2425,2024-02-21,9557,FC Cincinnati,False,5,2,1,2,15,15,7,0.4666666666666667,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9567,Orlando City,True,5,1,0,4,5,15,3,0.2,0.4,0.0,2022-02-26
USA1,2425,2024-02-21,9546,New York RB,False,5,2,0,3,14,15,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9561,Toronto FC,True,5,2,1,2,14,14,7,0.4666666666666667,1.0,0.0,2022-02-26
USA1,2425,2024-02-21,9562,Sporting Kansas City,False,5,2,1,2,9,8,7,0.4666666666666667,0.72,0.36,2023-02-25
USA1,2425,2024-02-21,9545,Austin FC,True,5,3,2,0,9,4,11,0.7333333333333333,0.72,0.6799999999999999,2022-02-26
USA1,2425,2024-02-21,9563,FC Dallas,False,5,3,1,1,12,9,10,0.6666666666666666,0.96,0.28,2023-02-25
USA1,2425,2024-02-21,9555,Houston Dynamo,True,5,2,0,3,13,14,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9564,San Jose Earthquakes,False,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9558,Nashville SC,True,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9570,Columbus Crew,False,5,3,1,1,13,11,10,0.6666666666666666,1.0,0.11999999999999988,2023-02-25
USA1,2425,2024-02-21,9565,Real Salt Lake,True,5,2,1,2,13,12,7,0.4666666666666667,1.0,0.040000000000000036,2023-02-25
USA1,2425,2024-02-21,9559,Vancouver Whitecaps,True,5,3,0,2,9,11,9,0.6,0.72,0.11999999999999988,2022-02-26
USA1,2425,2024-02-21,9551,Portland Timbers,False,5,0,3,2,5,8,3,0.2,0.4,0.36,2022-02-26
USA1,2425,2024-02-21,9570,Columbus Crew,True,5,3,1,1,13,11,10,0.6666666666666666,1.0,0.11999999999999988,2023-02-25
USA1,2425,2024-02-21,9566,D.C. United,False,5,0,1,4,4,12,1,0.06666666666666667,0.32,0.040000000000000036,2022-02-26
USA1,2425,2024-02-21,9557,FC Cincinnati,True,5,2,1,2,15,15,7,0.4666666666666667,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9546,New York RB,False,5,2,0,3,14,15,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9556,Inter Miami CF,True,5,3,0,2,11,10,9,0.6,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9568,Colorado Rapids,False,5,3,1,1,11,10,10,0.6666666666666666,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9546,New York RB,True,5,2,0,3,14,15,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9548,Atlanta United FC,False,5,2,1,2,11,10,7,0.4666666666666667,0.8800000000000001,0.19999999999999996,2023-02-25
USA1,2425,2024-02-21,9547,Los Angeles Galaxy,True,5,1,3,1,9,7,6,0.4,0.72,0.44000000000000006,2023-02-25
USA1,2425,2024-02-21,9547,Los Angeles Galaxy,False,5,1,3,1,9,7,6,0.4,0.72,0.44000000000000006,2023-02-25
USA1,2425,2024-02-21,9545,Austin FC,True,5,3,2,0,9,4,11,0.7333333333333333,0.72,0.6799999999999999,2022-02-26
USA1,2425,2024-02-21,9564,San Jose Earthquakes,False,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9552,Chicago Fire,True,5,2,1,2,11,10,7,0.4666666666666667,0.8800000000000001,0.19999999999999996,2022-02-26
USA1,2425,2024-02-21,9555,Houston Dynamo,False,5,2,0,3,13,14,6,0.4,1.0,0.0,2023-02-25
USA1,2425,2024-02-21,9550,Minnesota United FC,True,5,1,1,3,11,15,4,0.26666666666666666,0.8800000000000001,0.0,2022-02-26
USA1,2425,2024-02-21,9565,Real Salt Lake,False,5,2,1,2,13,12,7,0.4666666666666667,1.0,0.040000000000000036,2023-02-25
USA1,2425,2024-02-21,9558,Nashville SC,True,5,0,3,2,7,9,3,0.2,0.5599999999999999,0.28,2022-02-26
USA1,2425,2024-02-21,9554,Philadelphia Union,False,5,3,0,2,13,7,9,0.6,1.0,0.44000000000000006,2022-02-26
